Grant Recipient Name,Type Of Brownfields Grant,Type Of Funding,ACRES Property ID,Property Name,Property Address,Property City,Property State,Property ZIP Code,Property Size (Acres),Ownership Entity,Current Owner,Property Description,Source of Assessment Funding,Name of Entity Providing Assessment Funds,Amount of Assessment Funding,Assessment Phase,Assessment Completion Date,Cleanup Required,Contaminant Found-Petroleum,Contaminant Found-Controlled Substances,Contaminant Found-Asbestos,Contaminant Found-PCBs,Contaminant Found-VOCs,Contaminant Found-Lead,Contaminant Found-Other Metals,Contaminant Found-PAHs,Contaminant Found-Other,Contaminant Found-Other (Description),Media Affected-Soil,Media Affected-Air,Media Affected-Surface Water,Media Affected-Ground Water,Media Affected-Drinking Water,Media Affected-Sediments,Media Affected-No Media,Media Affected-Unknown,Cleanup Start Date,Cleanup Completion Date,Acres Cleaned Up,Source of Cleanup Funding,Name of Entity Providing Cleanup Funds,Amount of Cleanup Funding,Contaminant Clean Up-Petroleum,Contaminant Clean Up-Controlled Substances,Contaminant Clean Up-Asbestos,Contaminant Clean Up-PCBs,Contaminant Clean Up-VOCs,Contaminant Clean Up-Lead,Contaminant Clean Up-Other Metals,Contaminant Clean Up-PAHs,Contaminant Clean Up-Other,Contaminant Clean Up-Other (Description),Media Cleaned Up-Soil,Media Cleaned Up-Air,Media Cleaned Up-Surface Water,Media Cleaned Up-Ground Water,Media Cleaned Up-Drinking Water,Media Cleaned Up-Sediments,Source of Redevelopment Funding,Amount of Redevelopment Funding,Name of Entity Providing Redevelopment Funds,Redevelopment Start Date,Redevelopment Completion Date
City of Columbia,Assessment,,229364,601 CATAWBA STREET SITE,601 CATAWBA STREET,COLUMBIA,SC,29201,1,Private,Mr. Thomas Boruk,"The 1-acre site is located at 601 Catawba Street in Columbia, Richland County, South Carolina. The site has been improved with an approximate 20,400-square foot former steel fabrication/office structure and three mobile trailer -style offices. The site is currently vacant.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,3000,Phase I Environmental Assessment,11/3/10,Unknown,,,,,,,Yes,Yes,,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Central,Assessment,,229541,Central Concrete & Plaster,211 E Main Street,CENTRAL,SC,29630,2.3,Private,,"According to information from the Pickens County Tax Assessor?s website, the approximate 2.3-acre site consists of one parcel comprising 211, 221 and 233 East Main Street in Central, Pickens County, South Carolina.  The site is currently improved with a vacant concrete mixing plant including three buildings used as an office, warehouse and storage facility, several relic features associated with past concrete mixing operations, and paved access drives and parking areas.&#10&#10According to a review of",EPA,US EPA - Brownfields Assessment Cooperative Agreement,3400,Phase I Environmental Assessment,,Unknown,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
Town of Central,Assessment,,229541,Central Concrete & Plaster,211 E Main Street,CENTRAL,SC,29630,2.3,Private,,"According to information from the Pickens County Tax Assessor?s website, the approximate 2.3-acre site consists of one parcel comprising 211, 221 and 233 East Main Street in Central, Pickens County, South Carolina.  The site is currently improved with a vacant concrete mixing plant including three buildings used as an office, warehouse and storage facility, several relic features associated with past concrete mixing operations, and paved access drives and parking areas.&#10&#10According to a review of",EPA,US EPA - Brownfields Assessment Cooperative Agreement,10550,Supplemental Assessment,,Unknown,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
Town of Central,Assessment,,229542,Central Laundromat,703 W Main Street,CENTRAL,SC,29630,0.39,Government,Town of Central,The site was utilized for used car sales dating back to 1951 and a laundromat since 1965.,EPA,US EPA - Brownfields Assessment Cooperative Agreement,2000,Phase I Environmental Assessment,9/27/17,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Central,Assessment,,229542,Central Laundromat,703 W Main Street,CENTRAL,SC,29630,0.39,Government,Town of Central,The site was utilized for used car sales dating back to 1951 and a laundromat since 1965.,EPA,US EPA - Brownfields Assessment Cooperative Agreement,40000,Phase II Environmental Assessment,10/17/19,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Central,Assessment,,229542,Central Laundromat,703 W Main Street,CENTRAL,SC,29630,0.39,Government,Town of Central,The site was utilized for used car sales dating back to 1951 and a laundromat since 1965.,EPA,US EPA - Brownfields Assessment Cooperative Agreement,2400,Phase I Environmental Assessment,6/26/18,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Central,Assessment,,229542,Central Laundromat,703 W Main Street,CENTRAL,SC,29630,0.39,Government,Town of Central,The site was utilized for used car sales dating back to 1951 and a laundromat since 1965.,EPA,US EPA - Brownfields Assessment Cooperative Agreement,3400,Phase I Environmental Assessment,,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Central,Assessment,,229542,Central Laundromat,703 W Main Street,CENTRAL,SC,29630,0.39,Government,Town of Central,The site was utilized for used car sales dating back to 1951 and a laundromat since 1965.,EPA,US EPA - Brownfields Assessment Cooperative Agreement,2500,Cleanup Planning,11/29/19,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Central,Assessment,,229542,Central Laundromat,703 W Main Street,CENTRAL,SC,29630,0.39,Government,Town of Central,The site was utilized for used car sales dating back to 1951 and a laundromat since 1965.,EPA,US EPA - Brownfields Assessment Cooperative Agreement,2800,Supplemental Assessment,,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake City Town,Assessment,,230022,Lake City Plaza,"W Main Street, N McAllister Street , N Morris Street",LAKE CITY,SC,29560,10.12,Private,Greater Lake City Alliance,"The site is a former shopping center and was a mix of vacant and occupied commercial space (Dollar General and China Buffet). Also, included on the site was a restaurant (Pizza Roma), ice vending machine and Carolina Trust Federal Credit Union drive-up ATM. The site has been in the Askins family for approximately 50 years. Mr. Askins indicated that he and his father?s business built the majority of the current day structures on the property in the late 1960?s and early 1970?s. Mr. Askins stated",EPA,US EPA - Brownfields Assessment Cooperative Agreement,64500,Phase II Environmental Assessment,6/23/17,Yes,,,,,,,Yes,Yes,,,Yes,,,Yes,,,,,4/10/19,11/30/19,10,Greater Lake City Alliance,Private/Other Funding,168000,,,,,,,,,,,Yes,,,,,,Greater Lake City Alliance,25000000,Private/Other Funding,9/1/17,8/6/19
Lake City Town,Assessment,,230022,Lake City Plaza,"W Main Street, N McAllister Street , N Morris Street",LAKE CITY,SC,29560,10.12,Private,Greater Lake City Alliance,"The site is a former shopping center and was a mix of vacant and occupied commercial space (Dollar General and China Buffet). Also, included on the site was a restaurant (Pizza Roma), ice vending machine and Carolina Trust Federal Credit Union drive-up ATM. The site has been in the Askins family for approximately 50 years. Mr. Askins indicated that he and his father?s business built the majority of the current day structures on the property in the late 1960?s and early 1970?s. Mr. Askins stated",The Darla Moore and Richard Rainwater Foundation,Private/Other Funding,3800,Phase I Environmental Assessment,6/23/16,Yes,,,,,,,Yes,Yes,,,Yes,,,Yes,,,,,4/10/19,11/30/19,10,Greater Lake City Alliance,Private/Other Funding,168000,,,,,,,,,,,Yes,,,,,,Greater Lake City Alliance,25000000,Private/Other Funding,9/1/17,8/6/19
Lake City Town,Assessment,,230022,Lake City Plaza,"W Main Street, N McAllister Street , N Morris Street",LAKE CITY,SC,29560,10.12,Private,Greater Lake City Alliance,"The site is a former shopping center and was a mix of vacant and occupied commercial space (Dollar General and China Buffet). Also, included on the site was a restaurant (Pizza Roma), ice vending machine and Carolina Trust Federal Credit Union drive-up ATM. The site has been in the Askins family for approximately 50 years. Mr. Askins indicated that he and his father?s business built the majority of the current day structures on the property in the late 1960?s and early 1970?s. Mr. Askins stated",Richard Rainwater &amp; Darla Moore Foundation,Private/Other Funding,2300,Supplemental Assessment,6/10/16,Yes,,,,,,,Yes,Yes,,,Yes,,,Yes,,,,,4/10/19,11/30/19,10,Greater Lake City Alliance,Private/Other Funding,168000,,,,,,,,,,,Yes,,,,,,Greater Lake City Alliance,25000000,Private/Other Funding,9/1/17,8/6/19
Lake City Town,Assessment,,230022,Lake City Plaza,"W Main Street, N McAllister Street , N Morris Street",LAKE CITY,SC,29560,10.12,Private,Greater Lake City Alliance,"The site is a former shopping center and was a mix of vacant and occupied commercial space (Dollar General and China Buffet). Also, included on the site was a restaurant (Pizza Roma), ice vending machine and Carolina Trust Federal Credit Union drive-up ATM. The site has been in the Askins family for approximately 50 years. Mr. Askins indicated that he and his father?s business built the majority of the current day structures on the property in the late 1960?s and early 1970?s. Mr. Askins stated",EPA,US EPA - Brownfields Assessment Cooperative Agreement,3900,Cleanup Planning,9/19/19,Yes,,,,,,,Yes,Yes,,,Yes,,,Yes,,,,,4/10/19,11/30/19,10,Greater Lake City Alliance,Private/Other Funding,168000,,,,,,,,,,,Yes,,,,,,Greater Lake City Alliance,25000000,Private/Other Funding,9/1/17,8/6/19
Lake City Town,Assessment,,230022,Lake City Plaza,"W Main Street, N McAllister Street , N Morris Street",LAKE CITY,SC,29560,10.12,Private,Greater Lake City Alliance,"The site is a former shopping center and was a mix of vacant and occupied commercial space (Dollar General and China Buffet). Also, included on the site was a restaurant (Pizza Roma), ice vending machine and Carolina Trust Federal Credit Union drive-up ATM. The site has been in the Askins family for approximately 50 years. Mr. Askins indicated that he and his father?s business built the majority of the current day structures on the property in the late 1960?s and early 1970?s. Mr. Askins stated",EPA,US EPA - Brownfields Assessment Cooperative Agreement,1800,Cleanup Planning,4/5/17,Yes,,,,,,,Yes,Yes,,,Yes,,,Yes,,,,,4/10/19,11/30/19,10,Greater Lake City Alliance,Private/Other Funding,168000,,,,,,,,,,,Yes,,,,,,Greater Lake City Alliance,25000000,Private/Other Funding,9/1/17,8/6/19
Lake City Town,Assessment,,230022,Lake City Plaza,"W Main Street, N McAllister Street , N Morris Street",LAKE CITY,SC,29560,10.12,Private,Greater Lake City Alliance,"The site is a former shopping center and was a mix of vacant and occupied commercial space (Dollar General and China Buffet). Also, included on the site was a restaurant (Pizza Roma), ice vending machine and Carolina Trust Federal Credit Union drive-up ATM. The site has been in the Askins family for approximately 50 years. Mr. Askins indicated that he and his father?s business built the majority of the current day structures on the property in the late 1960?s and early 1970?s. Mr. Askins stated",EPA,US EPA - Brownfields Assessment Cooperative Agreement,3500,Cleanup Planning,3/18/19,Yes,,,,,,,Yes,Yes,,,Yes,,,Yes,,,,,4/10/19,11/30/19,10,Greater Lake City Alliance,Private/Other Funding,168000,,,,,,,,,,,Yes,,,,,,Greater Lake City Alliance,25000000,Private/Other Funding,9/1/17,8/6/19
Lake City Town,Assessment,,230022,Lake City Plaza,"W Main Street, N McAllister Street , N Morris Street",LAKE CITY,SC,29560,10.12,Private,Greater Lake City Alliance,"The site is a former shopping center and was a mix of vacant and occupied commercial space (Dollar General and China Buffet). Also, included on the site was a restaurant (Pizza Roma), ice vending machine and Carolina Trust Federal Credit Union drive-up ATM. The site has been in the Askins family for approximately 50 years. Mr. Askins indicated that he and his father?s business built the majority of the current day structures on the property in the late 1960?s and early 1970?s. Mr. Askins stated",Richard Rainwater &amp; Darla Moore Foundation,Private/Other Funding,7800,Supplemental Assessment,4/4/16,Yes,,,,,,,Yes,Yes,,,Yes,,,Yes,,,,,4/10/19,11/30/19,10,Greater Lake City Alliance,Private/Other Funding,168000,,,,,,,,,,,Yes,,,,,,Greater Lake City Alliance,25000000,Private/Other Funding,9/1/17,8/6/19
Lake City Town,Assessment,,230022,Lake City Plaza,"W Main Street, N McAllister Street , N Morris Street",LAKE CITY,SC,29560,10.12,Private,Greater Lake City Alliance,"The site is a former shopping center and was a mix of vacant and occupied commercial space (Dollar General and China Buffet). Also, included on the site was a restaurant (Pizza Roma), ice vending machine and Carolina Trust Federal Credit Union drive-up ATM. The site has been in the Askins family for approximately 50 years. Mr. Askins indicated that he and his father?s business built the majority of the current day structures on the property in the late 1960?s and early 1970?s. Mr. Askins stated",EPA,US EPA - Brownfields Assessment Cooperative Agreement,3400,Supplemental Assessment,11/3/16,Yes,,,,,,,Yes,Yes,,,Yes,,,Yes,,,,,4/10/19,11/30/19,10,Greater Lake City Alliance,Private/Other Funding,168000,,,,,,,,,,,Yes,,,,,,Greater Lake City Alliance,25000000,Private/Other Funding,9/1/17,8/6/19
Lake City Town,Assessment,,230022,Lake City Plaza,"W Main Street, N McAllister Street , N Morris Street",LAKE CITY,SC,29560,10.12,Private,Greater Lake City Alliance,"The site is a former shopping center and was a mix of vacant and occupied commercial space (Dollar General and China Buffet). Also, included on the site was a restaurant (Pizza Roma), ice vending machine and Carolina Trust Federal Credit Union drive-up ATM. The site has been in the Askins family for approximately 50 years. Mr. Askins indicated that he and his father?s business built the majority of the current day structures on the property in the late 1960?s and early 1970?s. Mr. Askins stated",EPA,US EPA - Brownfields Assessment Cooperative Agreement,10595,Cleanup Planning,7/31/17,Yes,,,,,,,Yes,Yes,,,Yes,,,Yes,,,,,4/10/19,11/30/19,10,Greater Lake City Alliance,Private/Other Funding,168000,,,,,,,,,,,Yes,,,,,,Greater Lake City Alliance,25000000,Private/Other Funding,9/1/17,8/6/19
City of Walterboro,Assessment,,238464,Strickland's Dixie Cleaners,419 Hampton Street,WALTERBORO,SC,29488,0.22,Private,Linda Strickland,"The subject property historically operated as a dry cleaning service for approximately 60 years. Sanborn Fire Insurance maps indicate that the subject property operated as an auto repair facility, including the use of hydraulic lifts for approximately 25 years. The site is located at 419 Hampton St. The site contains one (1) structure, a one-story, approximately 6,500 ft2 dry cleaning facility. No other improvements have been made to the site. Colleton County reports the site is owned by Linda T",EPA,US EPA - Brownfields Assessment Cooperative Agreement,4150,Phase I Environmental Assessment,10/16/18,Unknown,Yes,,Yes,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Walterboro,Assessment,,238464,Strickland's Dixie Cleaners,419 Hampton Street,WALTERBORO,SC,29488,0.22,Private,Linda Strickland,"The subject property historically operated as a dry cleaning service for approximately 60 years. Sanborn Fire Insurance maps indicate that the subject property operated as an auto repair facility, including the use of hydraulic lifts for approximately 25 years. The site is located at 419 Hampton St. The site contains one (1) structure, a one-story, approximately 6,500 ft2 dry cleaning facility. No other improvements have been made to the site. Colleton County reports the site is owned by Linda T",EPA,US EPA - Brownfields Assessment Cooperative Agreement,56871,Phase II Environmental Assessment,11/6/19,Unknown,Yes,,Yes,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Walterboro,Assessment,,238465,Coastal Lumber,1857 Bells Highway,WALTERBORO,SC,29488,53.9,Private,Victor Barringer,"The site consists of an approximately 53.9-acre property directly to the west of Interstate 95 along Bells Highway. The site appeared to contain a former lumberyard, but has been abandoned for at least ten years. The site contains one (1) structure, a former one-story, approximately 1000 ft2 office building. No other improvements have been made to the site. The site was formerly a lumberyard, containing lumber cutting and storing operations. Mr. Victor Barringer, the property owner, also stated",EPA,US EPA - Brownfields Assessment Cooperative Agreement,3600,Phase I Environmental Assessment,10/15/18,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Walterboro,Assessment,,238466,Short Stop 3,1897 Bells Highway,WALTERBORO,SC,29488,0.6,Private,Enterprise Bank of SC,"The site is located at 1897 Bells Highway, directly to the west of Exit 57 on Interstate 95 and the city of Walterboro, Colleton County, South Carolina. The site borders a former lumberyard to the south, east and west, and Bells Highway and commercial properties to the north. The site contains a former gas station. The site was formerly a gas station with two (2) storefronts and two (2) dispenser islands.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,10250,Phase I Environmental Assessment,11/8/18,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
